PlayerID,Kill,Death,Assist,Win,ChampionPicked,ChampionBanned,MatchName,MatchWeek,Gamenumber,TournamentName,TournamentLocation
Balls,2,2,11,1,Rumble,LeBlanc,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Meteos,3,1,11,1,Gragas,Kalista,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Incarnati0n,5,2,9,1,Kog'Maw,Hecarim,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Sneaky,5,1,9,1,Sivir,,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
LemonNation,0,4,12,1,Nautilus,,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Dyrus,2,3,5,0,Maokai,Alistar,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Santorin,0,3,7,0,Rek'Sai,Sejuani,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Bjergsen,4,2,3,0,Viktor,Ashe,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
WildTurtle,3,3,3,0,Urgot,,C9 vs TSM,1,1,LCS 2015 Season Summer,North America
Lustboy,1,4,5,0,Thresh,,C9 vs TSM,1,1,LCS 2015 Season Summer,North America